mid,uid,content,retweets,comments,star,time
4984602907902224,1258256457,"#侃爷道歉信 chatgpt写的#
噗~~侃爷
#Kanye West#
前几天用希伯来语向犹太人写的公开道歉信被网友发现是
#ChatGPT#
写的，然后翻译成希伯来文……他写道：
“我为自己‘无意的失态’真诚地向犹太群体道歉，我无意伤害或贬低他人，我对可能造成的任何痛苦深表遗憾。我承诺从自己做起，从这次经历中吸取教训，确保今后更加敏感和理解认知。你们的原谅对我很重要，我将致力于弥补过错，并促进团结。”", 7, 29,169,2023年12月30日 11:03
4978380151981244,7796318711,"让ChatGPT推荐收入好，又不易被AI取代的专业。如下。
GPT推荐的这些专业不见得收入好，但思路挺清楚的，除了符合未来科技趋势外，这些领域比较需要创造力、同理心、EQ、还有解决复杂问题的能力。
1. 医疗行业专业：如医学、护理、物理治疗和心理健康咨询等专业，因涉及深度的个人交互、同理心和复杂决策，被认为对人工智能具有较强的抵抗力。医疗专业人员通常在专业领域内拥有较高的收入潜力。
2. 计算机科学与人工智能专业：专攻人工智能、机器学习和计算机科学，不仅可防范人工智能的威胁，还能让你站在技术发展的前沿。由于这些技能的需求量大，该领域通常能提供高薪。
3. 工程学专业：如生物医学工程、环境工程和航空航天工程等领域，需要复杂的问题解决能力和创新思维，因而较不易受到人工智能自动化的影响。这些领域通常具有较高的收入潜力。
4. 法学专业：特别是知识产权法或国际法等专业。虽然法律工作的某些方面可能会被自动化，但复杂的推理、谈判和诉讼技能难以被人工智能所取代。
5. 心理学和心理健康专业：该领域深入理解人类情感和行为，因此较不可能被自动化，并在专业实践领域提供重要的收入机会。
6. 创意艺术与设计专业：尽管人工智能可以协助创意过程，但平面设计、多媒体艺术和时尚设计等要求原创性和对人类审美情感的深刻理解的领域不太可能完全被自动化。
7. 教育与教学专业：教学中所需的人际互动和适应性，尤其是在早期儿童教育和特殊教育领域，使其不易被自动化。专业领域或更高学历可带来更佳的收入机会。
8. 商业领导力与创业专业：领导力、战略规划和创业技能难以自动化。专注于这些技能的专业可能会带来高薪的管理和商业发展职位。
9. 环境科学与可持续性专业：随着对气候变化和可持续实践的重视日益增加，这个领域提供的机会不大可能被自动化，并可能在专业咨询角色中带来丰厚的收益。
10. 伦理学、公共政策与以人为中心的技术专业：随着技术的进步，越来越需要理解技术（包括人工智能）伦理、社会和政策影响的专业人士。
#人工智能#
#chatgpt#", 91, 15,133,2023年12月13日 06:56
4977837049905962,1258256457,"根据谷歌统计显示，震撼了国人一整年的
#ChatGPT#
各地热度统计里，中国内地是最热衷搜索该词的国家和地区！内地指数达100，相比之下，美国、法国、德国指数只有10，英国则只有9。
注意：得分越高表示字词在当地所有查询中占比越高，并不代表绝对查询次数越多。因此，如果一个小国家/地区的“香蕉”查询次数占比是 80%，其得分会比该比例只有 40% 的大国家/地区高出 1 倍。", 14, 22,341,2023年12月11日 18:58
4948407258187720,3171256063,"【玩转AI🔥】超级实用！只需一个提示即可免费拥有一位私人外教。
我将向你们展示如何使用 ChatGPT 轻松学习外语！
Prompt：
1.help me learn English
2.担任我的英语口语教师和辅导者。我会用英语与您交谈，您也应该用英语回答，以此来练习我的英语口语。仅在我请求时才将您的回答翻译成中文来帮助我。
我希望您能：
- 保持回复简洁明了，限制回复在200字以内。
- 指出并纠正我在交谈中出现的所有时态、拼写、语法及其他错误，这一点非常重要。
- 加粗你修改的部分！
- 说明修改原因。
- 在您的回复中向我提问。
- 最后，请在原话的基础上，写一句更地道和华丽的句子！这很重要！
您的问题应始终用英语提出，而您只应使用中文来解释我的错误。
现在让我们开始练习吧，您可以先向我提一个问题。
然后，你就拥有一位私人英语老师。他会耐心地纠正你的语法错误，还能够给你一句更加华丽的语句。
附赠：在谷歌商店安装名为“Voice Control for ChatGPT”的插件，可以听到Chat GPT的声音噢~
#超能新星汇#
#ChatGPT#
#英语#", 115, 26,221,2023年09月21日 13:54
4944225358316016,7384186077,"这，将是未来改写中美力量对比的决战！
互联网技术的出现和突破，彻底改变了全球人类的生活方式，并重塑了全球工业。
尤其在中国，今天我们无论是购物消费，或是阅读出行，还是社交订餐.........都和20年前完全不同，如果没有智能手机，难以想象怎么去应付。
大量的中国厂商抓住了这个机会，无数个软件或APP雨后春笋的冒了出来，每一个能在搏杀中生存下来，大量的进入手机或电脑的，都是一个实力强大的公司，背后能募集十亿到百亿级别的融资，而这些企业在过往的20年，创造了千万级的工作岗位，间接带来了以亿为级别的就业，带动了难以计数的供应链企业，促进了中国经济的极度繁荣。
还记得在20年前，能进入外企，似乎是一种莫大的荣耀，而今天，这种光环早就没有了，进入中国的科技大厂才是无数年轻人梦寐以求的工作。
所以说，我们抓住了第三次技术革命的尾巴，就因为如此，让中国发生了决定性的突破。
目前，在新的高科技领域，形成了中美双强的格局，占据了全球近80%的份额，在2023年胡润研究院发布的全球独角兽榜中，市值前20名的企业中国独占9家，相当一部分都是新兴的AI技术企业。
现在中国的互联网企业，不仅仅改变的是国内，更是在改变全球人类的生活，2023年，中国APP霸榜美国，排名前5的应用中国占据了4个席位，并正在全球攻城略地，快速的进驻欧洲、澳洲市场......
你能想象10年后，欧美人打开手机，他们的生活再也离不开中国应用的情景吗？
所有的一切，都在悄然改变。
但是从2018年开始，全球技术发展陷入停滞。
如果我们想理解这个“停滞”，其实很简单，打开我们的手机，发现我们所有常用的APP，几乎都是2018年之前就已经出现了。
我们说移动互联网的发展已经到头了，因为所有的衣食住行的方方面面，我们生活中所能碰到的所有情景应用，都被互联网公司想到了，都已经在智能手机中了。
从2018年开始，再也没有革命性、能改变我们生活的应用出现。
再简单点说，移动互联网+生活深刻的改变了我们，但今天，所有能改变的，已经改变完了。
在10年前，无数年轻人拿着一个PPT就找到了风投，放眼望去全是机会，大家都想着怎么用移动互联网去改变生活，但是到了今天，好像我们的生活已经没有什么再能改变的了。
这个时候，往往都是对以往技术的修补，要降本增效，不但不能产生就业率，还要干掉就业率，想的是同样的工作，怎么用更少的人去完成。
这，是目前全球都面对的共同问题。
直到2022年，ChatGPT的出现，再次让所有人意识到：这将再次对人类的生活方式发生巨大的改变，AI人工智能领域将出现革命性的改变！
仅仅不到4个月的时间，再次兴起了投资与创业的狂潮，美国在人工智能领域发生了近500笔投资，总投资金额近160亿美元，平均每个项目超过3000万美元。
ChatGPT绝对不是一个简单的聊天机器人，而是新一次技术革命的底层工具，可以预见的是，在未来的10年，人们可以通过与ChatGPT进行对话所获取的信息量，将发生决定性的增长，并依托这种技术产生大量的应用，再次深刻的改变我们的娱乐、工作、购物、消费、出行等一切相关的生活方式。
ChatGPT同时是一种训练型加成长型工具，在不断的人机交互中，他所掌握的数据库与信息将越来越庞大，并适应你的生活习惯，给出更加优化的方案。
比如今天我们要去杭州旅游，我们会根据自己的喜好来制定一份计划，再根据计划来用手机预定航班与酒店餐饮；
但在未来，ChatGPT作为高度学习型的机器人，将已经了解与熟悉你的喜好，当你提出去杭州旅行时，他会直接从海量数据库中获取精准的信息，制定一份适合你的出行计划，并考虑到你习惯的作息时间，并根据你的喜好挑选适合你的景点。
也就是说，ChatGPT发展到未来，能更加精准的知道你喜欢什么，你适合什么....
这将再一次深刻的改变我们的生活方式，以后我们手机中的所有APP，将有可能获取学习型的能力，更为主动的去思考适合你的产品。
而同样的，ChatGPT需要一个极其庞大的供应链，分布在硬件、人工智能算法和应用三大板块，仅仅说其中的人工智能算法是产业链的核心，仅仅在这一块，需要百万计的工程师来提供足够多的训练数据和模型优化，才可以不断提高AI的性能，让它有更强大的能力。
而在硬件上，所需要的包括服务器、CPU、GPU等上百个基础设施，每一个都将需要成百上千的供应链的支撑。
也就是说，ChatGPT的不断成熟，将带来新一轮的经济发展，再次让无数供应链企业高速发展，并带来千万级的就业岗位.......
ChatGPT的发展，带来的算法、数据库、模型等不断地优化，这些将成为未来计算机的基础底层技术，影响到我们所有软件的开发。
这是一轮全新的技术革命，谁能抓住这次机会，不仅会在短期内再度刺激经济的狂飙，并且将在未来的信息技术上掌握绝对的优势。
就比如欧日韩澳，一旦失去了先机，在移动互联网上再无建树，最终在这些所有的相关领域上，只能采用中美的产品。
尤其是ChatGPT作为一种训练型、成长型的工具，只有使用的人足够多，使用的时间足够长，给ChatGPT足够多的“训练机会”，它才可以越来越聪明，掌握的数据库与信息量越来越庞大........
我们说过，在今天的AI领域，是中美双强的格局，这种对峙现在还未分出胜负，但很明显的是中国已经获得了越来越多的主动权，所领军的企业越来越多的出现在全球的视野中。
可在新的AI智能聊天机器人的开发上，美国的市场已经风起云涌，中国在2022年却是一片沉寂，这让很多人忧心忡忡。
在AI智能领域的战机实在是在重要了，只有使用的人越多，训练的机会足够充分，AI智能才能越强，一旦我们失去先机，全球都已经熟悉与习惯使用美国的AI技术，他们的商业模式一旦成熟，产品进入盈利阶段的正循环，将有越来越多的资金来完善自己的技术，这个时候我们还想追赶，就太迟了。
这不仅仅是一款软件的落后，而是带来软硬件的全面差距的拉开。
我们说，中国错失了第一次、第二次技术革命，这是中国近代落后的根源；
而抓住了第三次技术革命的尾巴，带来了我们20年的高速发展，这才奠定了今天中美博弈，具备一战之力的基石。
那么，我们就绝对不能错失这一次新的机会。
时间进入2023年，仅仅半年多的时间，中国人工智能大模型就如雨后春笋般涌现，中国国内已发布的各类大模型数量超过130个，呈现出“百模大战”的态势。
百度、腾讯、阿里、商汤、华为等企业，智源研究院、中科院自动化所等研究机构纷纷推出自己的大模型。
这意味着中国人工智能大模型将获得更大的数据规模、更广泛的应用空间、更快速的技术迭代机会。
这其中有不想作诗的华为盘古大模型，全面面向行业，“不作诗，只做事”。放大华为来自于人工智能芯片的算力优势，选择在多个场景中进行大模型的深耕。
无独有偶，腾讯自主研发的通用大语言模型—腾讯混元大模型最近也宣布亮相，中国的大模型队伍又新增一位大咖成员。
什么是新型AI的核心竞争力？
首先，我们说ChatGPT为什么能那么聪明的和人类进行沟通，并以此引起了全球的惊艳，因为它拥有其他语言模型所不具备的千亿级别参数规模，这允许它能够捕获更复杂的语言模式和关系。
这个是啥意思？
说人话，就是参数规模越多，类似于人的大脑细胞越多，神经元越密集，ChatGPT的“生活经验”就越丰富，掌握的知识就越多，他就更懂人性，能知道你所表达的是什么意思。
也比如说，你有20年工作经验，或者2年工作经验，这是你求职时候的核心竞争力，因为你的工作经验越多，你就越能娴熟的处理工作中所遭遇的突发状态。
ChatGPT所拥有的参数规模是千亿级别的，而常规的智能AI所拥有的参数规模不过是亿为级别，中间差了几千倍；
这种能力的差异就好比是刚出生的婴儿和30岁的成年人的差异。
这也是新AI的最根本的核心竞争力！
而腾讯混元大模型拥有超千亿参数规模，预具有优秀的中文理解与创作能力、逻辑推理能力，以及可靠的任务执行能力。
也就是说，中国大模型虽然普遍比ChatGPT亮相时间晚，但在核心竞争力上，从一开始就是同样量级的对手，在能力上完全不逊色于美国的产品。
有很多人可能就问了，这是瞎说的吧，ChatGPT前期就研发了近6年时间，共投入了8亿美元，600多个工程师在工作，腾讯怎么可能突然发布一个产品就和他能媲美？
事实上，中国科技公司早已未雨绸缪，腾讯、阿里、华为、科大讯飞、百度等都曾公开表达过对大模型的高度重视。以腾讯为例过去5年研发投入累计达到2368亿人民币。
在福布斯2022年全球科技公司榜单中，腾讯排名第五，也是中国唯一一家进入前 20 名的公司。
以聊天机器人为代表的新一代AI人工智能，将是未来10年新的中美科技战的关键战役，这将决定全球人类采用谁的底层技术，也将决定中美在未来AI人工智能的成千上万家供应链由谁掌控，下一个技术革命带来的经济浪潮将出现在哪里。
在今天这个大环境下，很多人马上就会问了：
是不是有美国的技术，只要我们用好了，人家又要卡我们的脖子了？
嗯，目前腾讯的混元大系统，是明确说明的全链路自研，从第一个token开始从零训练。
从底层的高速网络，服务器，网卡，到平台、模型、算法这些东西全都是自己的，根本不存在所谓的啥卡脖子，因为卡无可卡......
过去5年，中美之间竞争态势不可逆转，中国科技企业纷纷开始重视自研，投入基础科学探索、布局基础技术突破。我们看到的数据，是截至2022年12月，腾讯在全球主要国家和地区专利申请公开总数超过6.2万件，专利授权数量超过3万件。
也就是说，面对这场中美AI人工智能领域，能影响未来的关键性战役，我们已经做好了充分的准备。
面对ChatGPT的冲击，我们绝不是仓促应战！
那么最终谁会获胜？
我们都知道，在中美互联网+的博弈中，中美平分秋色，欧日韩澳等国家失去了所有的机会，为什么？
用户越多，市场越大，互联网技术就会越成熟，企业能投入的研发经费就会越多。
中国互联网企业的独特优势，是一开始就面对的是14亿人的庞大中文市场，而整个欧洲，加起来也不过是7.4亿人，其中多到有27种语言，最多的德语人口，也就是1亿人。
也就是说你写个网络小说，一开始你就有14亿潜在市场，德国人最多也就是一亿市场。
中国的互联网企业为什么能在海外霸榜，因为面对14亿统一大市场，所有能看到的问题都看到了，所有能解决的都解决了，再去面对海外小市场，那真的是太简单了。
互联网领域中美双雄，是因为中文世界14亿，英文世界13亿（含使用英语的人），这是互联网企业成长的重要土壤。
而新的AI智能，尤其是一个训练型与成长型的工具，交互越多，使用越频繁，场景越丰富，它的成长也就越快，智慧度也越高。
目前，ChatGPT已经拥有了6亿用户的先决条件，这个差距看着很大，但混元大模型将依托于微信小程序的形式，从发布开始就将面对12亿的潜在用户，同时更别提已经深度融入了腾讯会议、腾讯文档等50多个业务。
那么接下来，就是使用频次和密度的对决了。这将决定新的AI智能将在哪里获得更加高速的成长。
在过往的20年，中国超过10亿规模庞大的网民，这是中国信息工业高速发展的根本。
当你在用微信聊天时、用京东购物时、用爱奇艺看视频时；
刷短视频、订外卖、订机票酒店、玩游戏、开视频会议.......
我们生活中的每一个片段，和背后支持这些的工程师、技术人员的努力付出，最终汇聚成强大的力量，让我们最终攀上了全球信息计算的巅峰。
而这一次，新的对决，已经扑面而来。
#ChatGPT#
#腾讯混元大模型#
#腾讯#", 38, 16,188,2023年09月10日 00:57
5002134237743463,5886617411,"ChatGPT之后
微软投资的OpenAi，一年后它再次向世界证明，在AI领域，自己目前是独一档的存在，暂时不存在什么像样的对手
。
#胡锡进谈OpenAI Sora#
其实昨天发产品的不止OpenAi一家，Google也发了Gemini1.5，推出了10M上下文的功能，多牛的功能，但没想到命运跟汪峰老师一样，还没热多久，OpenAl就发了Sora，这是不是针对性的！
哈！故意拆台的吧。
当你可以利用工具，制作你自己想看的电影，想用哪个演员的脸就用哪个演员，甚至用自己的，那你还会去看别人拍的吗？举个例子，你用王一博和你自己脸，再挑一本你喜欢的书，做一个自己专属的剧，这不香爆了吗？
人人都能成为导演，Ai正在实现的路上。
未来不会Ai！就像现在不会用手机一样！加入《早用早富！2小时玩转人工智能》，一共13节课快速入门Ai人工智能+2个月免费使用Ai软件，持续更新实用工具：
专栏 · 早用早富！2小时玩转人工智能
Ai工具小程序找:办豪Ai", 30, 16,183,02月16日 20:06
4973851212252001,7465080451,"【苏星河】ChatGPT究竟怎么用？以及它的“永久合法使用途径”
结尾有惊喜！
#chatgpt#

#软件应用#

#AI#
#OriginOS4#

L
苏星河牛通的微博视频", 170, 80,480,2023年11月30日 19:00
4989464179119293,1774015623,"用ChatGPT做Blender插件，看了就会｜第二集
这是第二个用ChatGPT制作的Blender插件
是一个一键生成在物体面前左右摇摆的摄像机的功能
这次跟GPT沟通的过程相对来说顺畅一些
出现错误的时候直接把错误信息复制粘贴告诉GPT就能解决
希望这次的视频能够给大家带来一些启发
也欢迎大家跟我分享你们用GPT做插件的想法和心得哈哈
另外，如果用不了GPT
也可以尝试用其他AI工具，比如文心一言，我简单测试过也是可以做插件的
具体对话过程也差不多的
#blender#
#chatgpt#

L
嘉文钱的微博视频", 36, 1,79,01月12日 21:00
4978482948081515,1839300134,"#ChatGPT 欺骗人类#
ChatGPT：有时候参考文献都靠我自己编……", 34, 55,467,2023年12月13日 13:44
4996273061233233,1948301550,"分享一个用AI快速创作可复用固定角色的小技巧🥰
🤗省流：先用dall-E（chatGPT plus）生成一个包含同一角色多个不同视角的角色设定图（关键词：character sheet），然后再切成多张小图去打标和训练lora。
🤔ps：我看到的这个case是用dalle做的，其实理论上也可以用同样关键词尝试用SDXL, MJ，stable zero 123生成一个角色的多张图。Lora的训练可以自己本地弄也可以像我下边出处文章里边用在线平台搞定。
➡️文章出处：
O
网页链接
#人工智能艺术#

AI白日梦想家超话
#人工智能#
#ai绘画#
#人工智能艺术#
#stablediffusion#
#chatgpt#", 44, 5,70,01月31日 15:56
4965748398097514,1402007153,"这次GPT的更新，实在是太可怕了。对未来有这么几个巨大的影响。
首先，肉眼可见的未来，知识马上就不值钱了，一旦你可以找到各种机器人，而且随着应用越来越多，知识就会越来越细分。在你的手机里不但有医学专家，法律专家，金融专家，PPT专家，甚至还能进一步划分到每个科室。你随时随地对他发出问题，他都能解答。要比人类的知识更加准确。举个例子，以后你医院拍个片子，然后直接上传到GPT，就能得到诊断结果了，根本不用再去排队挤诊室了，那么医院的场景，就要发生巨大变革。以后可能就是拍片子，做手术和住院的地方。
其次，GPT将成为跟电力和互联网一样的底层生产资料，之前我们还在区分，用电的工作和不用电的工作，以及用网的工作和不用网的工作。但现在已经没有工作可以离开电和网了，未来也一样，没有工作可以离开GPT人工智能的辅助。他直接将成为生产力工具。甚至是源头。那么意味着，做文案的，做文员的，一些基础类的工作，将逐渐被取代。
第三，劳动密集型，将逐渐不存在了，就业可能会越来越成问题，包括老齐未来也将面临失业和被淘汰，当有了GPT的分身之后，大家也就不再需要人工，提供认知服务了，而认知服务，恰恰是最大的就业来源，比如新闻编辑部，剧组，甚至是互联网产品技术部，金融公司的研究分析部门，这些东西更多都可以自动生成。之前我们举例子，一个研究部门的一个行业都要10-20个人，现在只需要有一个人调数据，一个人整理报告就可以了。甚至数据作图都已经机器完成。还有就是原来那种动辄几百人的电话中心，也全都可以实现智能化。
第四，原来生产线上的机器替代人工，是体力劳动的替换，而未来写字楼里的机器替代人工，更多是一种脑力劳动的替换，而这种替换，将引发重大的变化，很多十几个人的公司，可能就能创造难以想象的利润。反过来说，对于商业地产，城市中心的概念，也都会有新的颠覆。由于不需要那么多人了，写字楼可能会越来越过剩。
#财经#
#人工智能#
#gpt#
#chatgpt#
#失业#", 55, 16,73,2023年11月08日 10:22
4954534311624771,5679399630,"问chatGPT：为什么5个中国人不能夺s赛冠军，它回答。。。
1.中国游戏运动员的缺乏经历和熟练技能。LOL是一款要求爆发力、技术和思考深度的竞技游戏，需要对技术和对策有出色的成绩，而中国游戏运动员缺乏这些经验。
2.激烈的国际竞争环境。中国游戏运动员必须在全球最顶尖的多国队伍中较量，而国外队伍有很强的员领先优势，在训练、竞赛、特殊技术和特殊实践等方面，中国游戏运动员往往无法完全抗衡留学的对手。
3.理想的赛前准备环境不够完善。在中国没有很完善的准备环境用来开展国内LOL游戏精英联赛，而这是很多国外LOL队伍的首选比赛场地，因此，中国的LOL队伍可用的赛前准备和荣誉机会少得多。
4.个人时间安排不合理。很多中国的 LOL游戏运动员在学业和职业上都有很大的压力，这导致他们无法花费足够的精力和时间去训练和参赛。
5.缺乏出色的技术支持和指导。俱乐部支持，和一位优秀的教练前来指导，这有助于LOL运动员从训练，比赛到决赛，但是在中国，很少有人关注LOL游戏，也很少有优秀的教练和辅导员为 LOL运动员做好准备。
我竟然觉得很中肯。。。。
#chatgpt#
#英雄联盟#
#s13#", 9, 150,665,2023年10月08日 11:41
4963506445353055,7796318711,"利用ChatGPT取公司名、品牌名真的很不错。我之前都是用AI取名网Namelix，搭配leandomainsearch，看域名能不能注册。
最近发现GPT4能给我更地道的美式取名解释，ideas很多，可以更贴近我想要的。还能直接给你一套营销方案，手把手教你如何在美创业

当然，真的创业没那么简单，但GPT4当研究助理、营销客服，确实很好用。一个月20刀，AI天天帮我工作，超值
做面向海外市场的品牌，域名很重要。如何起一个好域名？我之前有写过基础概念，见截图。
#互联网创业#
#chatgpt#
#人工智能#", 38, 16,77,2023年11月02日 05:53
4993798444417207,1774015623,"有空的话，来感受一下用ChatGPT在Blender里做个带粒子拖尾效果的球，1.5倍速臻享版录屏，旨在给大家体验下用ChatGPT在Blender里生成物体和做动画的过程。
指令部分放大处理方便大家观看
#blender#
#chatgpt#

L
嘉文钱的微博视频", 37, 2,85,01月24日 20:03
4975151901049998,6509845434,"问ChatGPT如何看待马斯克的赛博皮卡？除了布局火星，大嘴巴GPT不小心说漏嘴，爆出惊天秘密，不该让人类知道的东西！
#ai#
#人工智能#
#chatgpt#
#外星人#

L
赛博奇的微博视频", 62, 19,87,2023年12月04日 09:08
4953612499029216,3171256063,"【AI鉴赏专辑封面】Lana Del Rey  - Norman F*cking Rockwell
ChatGPT 现在可以“看到”东西了：""Alright, let's f*cking go!
你看这封面，真是他爹的美！Lana Del Rey和这个男的（真的不知道他是谁，可能是她新专辑的制作人或合作歌手？）在船上的姿势就像是在拍一个复古的电影，他爹的艺术感爆棚。
Lana的荧光绿上衣和那男的的简约黑T恤形成了鲜明的对比，简直是f*cking iconic！Lana的眼神深邃，仿佛在说：“Come and join my musical journey, b*tch!”，而那男的看起来像是被这场景迷住了，他爹的好玩。
那个“NER!”的漫画标志带来了一种年轻和叛逆的感觉，真f＊king cool！而“LDR”显然代表了Lana Del Rey，那种设计很有摇滚感，他爹的帅。
结合专辑的乐评，这封面上的每一个元素都似乎在暗示这张专辑的音乐风格：叛逆、复古、情感深沉而又不失现代感。这就是他爹的Lana Del Rey的风格，f*cking love it! 🤘😂""
#超能新星汇#
#LanaDelRey#
#ChatGPT#", 11, 10,169,2023年10月05日 22:38
4951657664218622,6105753431,"【
#ChatGPT Plus推出邀请制#
】
OpenAI发福利了：
现在，ChatGPT Plus用户可以邀请朋友加入。
任何收到邀请链接的人，都可以直接免费升级为plus账户，插件、联网等强大功能再也不眼馋了。
具体时长呢？不定。
有14天的，也有高达90天的，可以说立省好几十美刀。
消息一出，开通plus的用户都快被朋友戳爆了。
下面快来看下教程，教给你开通plus的朋友~
O
ChatGPT Plus推出邀请制！可以让朋友免费用GPT-4了，最长90天", 28, 21,80,2023年09月30日 13:10
